c_index,spearman,pearson,p_spearman,k,taxonomy_level,filter,Metabolites,Locate,Microbium,number
0.7024793388429752,0.5043949188954394,0.4617152140191717,0.0389491159469508,3,7,2,0,1,0,10
0.6694214876033058,0.4621549503179888,0.4779887573429903,0.0617992547785104,9,7,2,0,1,0,10
0.6611570247933884,0.4522161341821181,0.4801333558793931,0.068379228212465,10,7,2,0,1,0,10
0.6363636363636364,0.3664938450102331,0.4531113560488706,0.1479223784670775,7,7,2,0,1,0,10
0.6198347107438017,0.3056185961780249,0.3391784653992705,0.2328990123713551,4,7,2,0,1,0,10
0.6115702479338843,0.3056185961780249,0.378066044805343,0.2328990123713551,5,7,2,0,1,0,10
0.6115702479338843,0.2882256679402511,0.3883637278044617,0.2619120418207573,6,7,2,0,1,0,10
0.5867768595041323,0.2472280513797843,0.3766455253854842,0.3387346959740436,8,7,2,0,1,0,10
0.7195767195767195,0.5340575932240794,0.430080811896446,0.0104620172846651,2,7,4,0,1,0,10
0.6931216931216931,0.4544429139295213,0.4058467738635184,0.0336079144575267,3,7,4,0,1,0,10
0.6613756613756614,0.3707603313133435,0.3603755118632379,0.0893820782491053,4,7,4,0,1,0,10
0.6402116402116402,0.3242700076376891,0.325868410093541,0.1409386167108238,5,7,4,0,1,0,10
0.6402116402116402,0.3155530719485039,0.3466801150018581,0.1525640000288116,6,7,4,0,1,0,10
0.6296296296296297,0.3149719429025583,0.2289096233256,0.1533622340742792,1,7,4,0,1,0,10
0.5925925925925926,0.215598876045847,0.153045674777064,0.3352379395109368,7,7,4,0,1,0,10
0.582010582010582,0.197583875621531,0.1918255267693329,0.3781071468964874,8,7,4,0,1,0,10
0.582010582010582,0.1824745204269433,0.0669716738395326,0.4163443825831862,9,7,4,0,1,0,10
0.5502645502645502,0.1301729062918322,0.0681616570197439,0.5636753685590318,10,7,4,0,1,0,10
0.5769230769230769,0.1781741612749496,0.0355010606537694,0.6464923925578092,1,7,6,0,1,0,10
0.5384615384615384,0.1069044967649697,0.0012060807749764,0.7842794289221957,2,7,6,0,1,0,10
0.4615384615384615,-0.0801783725737273,-0.055386261189791,0.8375344564769127,3,7,6,0,1,0,10
0.4615384615384615,-0.1247219128924647,-0.0779932267776653,0.749189240389827,8,7,6,0,1,0,10
0.4615384615384615,-0.0623609564462323,-0.1559813114091489,0.8733702885398689,9,7,6,0,1,0,10
0.4230769230769231,-0.1692654532112021,-0.1849322979531404,0.6633023864318675,7,7,6,0,1,0,10
0.4230769230769231,-0.1247219128924647,-0.1881730222013853,0.749189240389827,10,7,6,0,1,0,10
0.3846153846153846,-0.2583525338486769,-0.2729054801620405,0.5020906316318055,5,7,6,0,1,0,10
0.3846153846153846,-0.2939873661036668,-0.2547317629951192,0.4425691047460786,6,7,6,0,1,0,10
0.3076923076923077,-0.427617987059879,-0.3320321104755117,0.2509275834745887,4,7,6,0,1,0,10
0.6422680412371135,0.3516970973249609,0.3324287224791019,0.0142351725831161,4,7,0,0,1,0,10
0.6412371134020619,0.353076518007911,0.2983674408946615,0.0138335393413347,2,7,0,0,1,0,10
0.6298969072164948,0.3227844398103265,0.2546510401170128,0.025244700801016,3,7,0,0,1,0,10
0.6268041237113402,0.31632875101412,0.2353451802749821,0.0284946881692779,8,7,0,0,1,0,10
0.6082474226804123,0.2581723750209432,0.179252151699827,0.0764455442277323,5,7,0,0,1,0,10
0.6,0.243660869436308,0.117625645484254,0.0951387856239057,7,7,0,0,1,0,10
0.5958762886597938,0.2378673025679175,0.1087814977338065,0.1035218133320521,1,7,0,0,1,0,10
0.588659793814433,0.2425021560626299,0.1698452236209172,0.0967718698911367,10,7,0,0,1,0,10
0.5773195876288659,0.2013402428833985,0.1187750068365788,0.1699837278923452,9,7,0,0,1,0,10
0.5628865979381443,0.1750208962527103,0.1126969670158399,0.2341141994951119,6,7,0,0,1,0,10
