ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
33-2_5-20,0.104779124,0.22526076,-0.122173086,-0.0051861107,0.20917082,-0.3213045,-0.0027998984,-0.2753915,0.12844546,0.261596,2020-05-01,2,Agf33,33-2,480,2021-09-01
33-2_7-20,-0.07145648,0.15190001,0.10342295,0.06796754,0.14925265,-0.33689344,-0.11594466,0.005008444,0.047198683,0.02335982,2020-07-01,4,Agf33,33-2,420,2021-09-01
34-1_5-20,0.22854142,0.4330748,-0.37358484,0.060272485,-0.19682299,-0.15966532,-0.27531374,-0.36454302,0.17984653,0.26781863,2020-05-01,2,Agf34,34-1,480,2021-09-01
34-1_7-20,0.07859866,0.20916131,0.0034054741,0.15220225,0.12476811,-0.10802799,-0.1944606,-0.07057689,0.19129394,0.13400805,2020-07-01,4,Agf34,34-1,420,2021-09-01
35-0_5-20,0.18364301,0.52159524,-0.3328155,0.04025927,-0.26145795,-0.17762452,-0.26863813,-0.40490824,0.19978839,0.37605262,2020-05-01,2,Agf35,35-0,480,2021-09-01
35-0_7-20,0.07493438,0.2560578,-0.009525668,0.020455092,-0.03496643,-0.26602173,-0.22595513,-0.058927987,0.05255837,0.15226081,2020-07-01,4,Agf35,35-0,420,2021-09-01
35-1_5-20,0.13589932,0.07625458,-0.09422373,-0.020375311,-0.031372987,-0.2504309,-0.27852678,-0.31132898,0.04066661,0.16124651,2020-05-01,2,Agf35,35-1,480,2021-09-01
35-1_7-20,0.0884148,0.16880378,-0.06090869,0.09187015,0.10999403,-0.15453784,-0.12512365,-0.23469013,0.24106333,0.17484497,2020-07-01,4,Agf35,35-1,420,2021-09-01
36-0_5-20,0.0060457177,0.25410038,-0.13852572,0.15849265,-0.05205573,-0.26832092,-0.39017618,-0.31716946,0.09375948,0.15720758,2020-05-01,2,Agf36,36-0,480,2021-09-01
36-0_7-20,0.047742803,0.37419564,-0.14796767,0.018744215,-0.089774586,-0.2256766,-0.21269827,-0.20349056,0.15915759,0.22037388,2020-07-01,4,Agf36,36-0,420,2021-09-01
36-1_5-20,0.029045183,0.26335514,-0.13559954,0.16572466,-0.059433118,-0.33525157,-0.33350492,-0.20531905,-0.009423137,0.17516536,2020-05-01,2,Agf36,36-1,480,2021-09-01
36-1_7-20,0.13126902,0.5052476,-0.41890025,0.0693573,-0.46347728,-0.26986068,-0.3102592,-0.3728866,0.05743421,0.33451304,2020-07-01,4,Agf36,36-1,420,2021-09-01
37-1_5-20,0.014304977,0.24619755,-0.044070497,0.04564503,-0.039924897,-0.2791761,-0.05998247,-0.08681616,0.15262087,0.20583373,2020-05-01,2,Agf37,37-1,480,2021-09-01
37-1_7-20,0.15730172,0.33966047,-0.20614198,-0.09912227,-0.15115997,-0.3206282,-0.15314823,-0.13645656,0.04608646,0.26578197,2020-07-01,4,Agf37,37-1,420,2021-09-01
38-1_5-20,-0.21750712,0.16050923,0.0023650602,0.111782506,0.16407688,-0.27154964,-0.09248926,-0.09396834,0.21336764,0.052805495,2020-05-01,2,Agf38,38-1,480,2021-09-01
38-1_7-20,-0.009162087,0.1332539,0.090458386,0.055510297,0.0935246,-0.37087694,-0.11576745,0.1843017,-0.049915552,-0.055758905,2020-07-01,4,Agf38,38-1,420,2021-09-01
38-2_5-20,-0.23302406,0.09277159,-0.03923796,0.09674573,0.21092734,-0.30836928,0.055928275,-0.12600777,0.2899546,-0.012971463,2020-05-01,2,Agf38,38-2,480,2021-09-01
38-2_7-20,0.083492026,0.23059174,-0.009563014,-0.12431042,-0.08536137,-0.31495953,-0.2800992,-0.17501047,0.020287849,0.1948015,2020-07-01,4,Agf38,38-2,420,2021-09-01
39-0_5-20,0.04100651,0.28686512,-0.08501972,0.045149893,0.0046721986,-0.25902304,-0.2307079,-0.16740686,0.09970363,0.18438566,2020-05-01,2,Agf39,39-0,480,2021-09-01
39-0_7-20,0.027720314,0.14776683,0.105506904,-0.03180982,-0.003192706,-0.37078553,-0.1705682,0.1504615,-0.052755475,-0.037306406,2020-07-01,4,Agf39,39-0,420,2021-09-01
