ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
40-0_7-20,0.27378935,0.64719886,-0.40334505,0.033578023,-0.2944072,-0.31637526,-0.30102077,-0.45169652,0.15879872,0.4961423
40-1_5-20,0.12255706,0.26937506,-0.07065876,0.14839958,-0.039146915,-0.25093403,-0.098777145,-0.16670299,0.18430775,0.27682048
40-1_7-20,0.038854685,0.30237043,-0.080870606,0.10179572,-0.068601966,-0.2577458,-0.15312853,-0.117785685,0.0841335,0.22763206
40-2_5-20,-0.1363467,0.21518958,-0.00087504834,0.14735083,-0.0019387403,-0.4368858,-0.107518286,-0.015443899,-0.02516362,0.1345169
40-2_7-20,0.09408377,0.4005971,-0.32007992,0.053910404,-0.22056156,-0.2995128,-0.16104448,-0.38026115,0.16093703,0.3842557
41-0_5-20,-0.06810044,0.06743203,-0.0133902095,0.18754658,0.11387653,-0.26544285,-0.22991925,-0.05544722,0.020419866,0.021145247
41-0_7-20,-0.14247768,0.15508036,0.02243311,0.17966785,0.013054112,-0.4604847,-0.08753443,0.13763678,-0.080585,-0.044100787
41-1_5-20,-0.036269017,0.0791485,0.045320496,0.07882414,0.089759916,-0.34821472,-0.091451734,-0.07488623,0.023215756,0.11039767
41-1_7-20,-0.02706869,0.1772378,0.0069040135,0.046002187,-0.058943257,-0.39247933,-0.2863537,-0.16841246,-0.04223579,0.15942498
42-0_5-20,0.20023386,0.3336612,-0.33744332,-0.018357098,-0.15454738,-0.11138596,-0.16178037,-0.3356312,0.17695342,0.23981817
42-1_5-20,0.041629914,0.20950931,-0.1365836,0.11734721,-0.0020472438,-0.28497857,-0.27471793,-0.40154603,0.104394786,0.30315343
42-1_7-20,-0.27653068,0.29123607,0.007770121,0.25611746,0.026925987,-0.401569,-0.0407558,0.19210446,-0.0069736987,-0.03088564
43-0_5-20,0.030639324,0.3412479,-0.21945411,0.16333857,-0.15210634,-0.23078096,-0.15968286,-0.25761774,0.16262157,0.26026356
43-0_7-20,0.029089708,0.3049869,-0.05172815,0.08736876,-0.10930743,-0.41284603,-0.20867161,-0.10303974,-0.028974444,0.27911693
43-1_5-20,0.20504113,0.32141265,-0.27009597,0.075521566,-0.12932773,-0.24660107,-0.22375108,-0.48592624,0.19095738,0.39880866
43-1_7-20,-0.15895636,0.17656915,0.0680617,0.08470484,0.03820537,-0.30932897,-0.10664875,0.049549155,0.03505545,-0.0035732873
44-0_5-20,0.046620045,0.2390832,-0.08707689,0.10395296,0.009612872,-0.29341236,-0.14177655,-0.15892407,0.04899344,0.14581235
44-0_7-20,0.16285962,0.4786066,-0.37457988,0.060582355,-0.2116967,-0.23980166,-0.33426,-0.4708638,0.17209835,0.41517955
44-1_5-20,0.17322887,0.50167674,-0.22279063,0.25701517,-0.054234162,-0.32564497,-0.19127227,-0.12049028,0.051275007,0.27328366
44-1_7-20,0.19377376,0.2968953,-0.10201485,0.010642618,-0.10926581,-0.30748272,-0.16453306,-0.13676941,0.096521884,0.28109273
45-0_5-20,0.015306119,0.20301178,-0.060318694,0.09765904,0.07703289,-0.27886054,-0.045344904,-0.042325176,0.18360758,0.046630826
