Compound	18-1_5-20	18-2_5-20	20-0_5-20	20-1_5-20	21-1_5-20	21-2_5-20	22-0_5-20	22-1_5-20	23-0_5-20	23-1_5-20	23-2_5-20	24-0_5-20	24-1_5-20	24-2_5-20	25-0_5-20	27-0_5-20	28-0_5-20	29-0_5-20	29-1_5-20	29-2_5-20	30-0_5-20	30-1_5-20	30-1_7-20	30-2_7-20	31-1_5-20	31-2_5-20	31-2_7-20	32-0_5-20	32-0_7-20	32-1_7-20	32-2_5-20	33-0_5-20	33-0_7-20	33-1_7-20	34-0_5-20	34-0_7-20	34-1_7-20	35-0_7-20	35-1_5-20	35-2_7-20	36-2_7-20	37-0_7-20	37-1_7-20	37-2_7-20	38-2_5-20	38-2_7-20	39-0_7-20	40-0_5-20	40-1_5-20	40-2_5-20	40-2_7-20	41-0_5-20	41-0_7-20	41-1_5-20	41-1_7-20	42-1_5-20	42-1_7-20	43-0_5-20	43-0_7-20	43-1_7-20	44-0_5-20	44-1_7-20	45-0_5-20	45-0_7-20	45-2_7-20	46-0_5-20	46-0_7-20	47-1_7-20	14-0_5-20	14-1_5-20	14-2_5-20	15-1_5-20 
Galangin Esi-6.3410025	563254	129621	200030	576003	735965	189651	249682	347326	467333	457409	1525419	1	228564	1	225943	308093	283654	456201	2082645	856055	368961	643863	598078	1549382	583729	1	1	215639	199061	1826092	416195	490524	1	697726	184804	1069159	289419	1801824	387750	316109	1125724	874113	366722	209315	475674	337707	544492	327079	272346	197539	725723	184989	894825	571796	1	192498	255692	753931	1180358	524348	278745	797816	702281	391965	1	1	1	1110717	445231	360354	713413	553573
360.2785@7.3800035	788696	877080	350032	351802	656855	768679	340927	633081	308826	166750	725957	1	589391	1	265882	598263	441443	470277	295723	370465	457285	456596	1056089	1054093	583572	777650	1356170	614776	254906	883215	384862	411492	821484	785994	225913	564040	457063	583796	676113	562869	696442	577683	354570	605141	437091	363117	1159813	619144	591924	893149	1324245	698943	1	502932	745238	1745624	1381900	654632	608030	1019260	869300	799673	662569	514415	534782	522181	1168450	971733	377736	434283	597203	650048
Milbemectin	442297	1142744	1	428940	361374	324349	262446	1	259120	188088	206206	315009	593599	600603	422220	1	681834	457405	446742	1	1649211	193605	1639757	1289100	456763	417361	462435	392355	512555	402709	323400	1	1130071	302973	471266	450353	330930	1	505298	413535	376567	706391	372977	518495	471488	368297	578273	413873	378513	705281	1210138	1297772	1039191	442530	658536	349232	798561	262778	351180	320609	833330	658834	534524	713221	345285	449887	1726544	820607	526938	767993	520000	526932
"3-[[5-Methyl-2-(1-methylethyl)cyclohexyl]oxy]-1,2-propanediol"	96161	681504	306706	205728	232972	192668	1056827	957953	207117	56628	224756	701585	261196	1	307929	343211	345223	206747	1	113798	771170	647203	980681	1	188585	97581	1	606020	248391	1	1793559	566279	313995	1	386858	1	556752	885533	427305	309483	586353	1	314439	489024	398640	377592	464938	508469	389865	621016	370403	600965	386257	470791	571764	248202	164723	753975	335484	238630	588188	479438	517020	546070	1	426973	550346	1	324616	1	241246	265508
662.4769@16.235996	1339823	1	1233427	1038974	1828168	660581	957686	1160300	1974735	1	1369111	94961	1351598	1544334	1005131	1048487	833811	897445	992386	873797	791176	1009598	592240	665783	880553	801607	947982	978517	954283	1166126	1175097	1154254	879375	1114456	954468	1433129	1674172	1209862	831606	1370992	1051298	809158	657435	1211245	1081587	1068448	367851	1256348	1104508	916139	499239	731069	593777	1536498	1049857	962416	884130	1403761	1286311	850378	790153	818130	814896	760221	1	1436043	409682	1076824	1324187	1015364	1038442	1027684
601.4374@15.400011	1170548	1	1114341	1832050	1	466443	706365	956814	801778	1	400590	1017630	660156	1	1	1399701	962910	603654	813425	3108391	1	781210	1769785	1934218	1	478138	719321	1	783237	1601591	460767	1405346	1077887	1312102	579178	1	1824905	1469268	396613	635450	880741	61552	529030	1	1626233	2497019	1	2065927	1	1	1	842274	450413	2130692	2738980	868524	2151122	1025678	670728	1694094	1635961	1779395	1342220	1456727	689662	403875	1	1485062	987272	1519254	739643	817917
Butyl (S)-3-hydroxybutyrate [arabinosyl-(1-6)-glucoside]	304748	1	568890	1251370	619941	1	1080095	1627684	1083385	1	626843	873830	217098	1	826440	433239	470567	200512	417627	522073	159115	597849	1	1	408527	872249	1	489559	1	1068196	417852	552437	1	263070	1120202	652185	477226	523264	478947	471633	418198	781874	1	175224	682498	474407	1	804059	1	470668	1	1	1	699587	1	601069	1	588445	302512	284907	1	385708	598248	1	441904	551700	1	1	462571	1523088	277680	969513
Butyl butyryllactate Esi-6.4700007	333291	405331	261063	244073	187264	178927	192848	293732	344378	175285	272188	236190	159330	1	260281	338392	735615	212726	487062	110909	590221	243352	1520843	863339	218751	1	1	226622	441657	611554	387237	598440	1271763	1104897	465730	247844	581974	304730	221444	197511	274858	421172	135199	405027	369956	237499	747136	304089	591899	549963	581853	439695	510396	511355	612876	165316	537768	658503	423465	490722	518746	485162	374356	827605	1	1	1	606174	142710	160363	303688	335585
810.4923@15.323986	1156826	554245	1280739	1418408	409781	619000	542566	998755	572020	1	1001033	726944	1268561	1387567	291068	1205069	599963	588021	450516	897313	331870	1202827	416599	620349	421542	1179891	819426	614894	760673	1159108	665921	1	1021744	1130577	575038	414309	669662	1	284885	735255	1	1114588	390543	1138040	670353	523972	406096	1075436	589115	1025004	884539	1112189	952184	1158502	1	1234838	1335051	1144702	1305788	982377	783992	462900	523742	838249	761344	1214800	699970	945067	1002561	696151	734777	337105
12-epi-Scalaradial	543212	1043532	870683	683429	1135979	535631	582118	901433	759312	1	753660	1322436	670737	898170	288189	746295	645842	450207	533889	732464	647992	597882	485904	447974	630088	1993274	1164125	581226	364529	783044	696798	926691	656425	825247	560088	608982	632137	612931	418759	579375	675296	624773	363267	692587	739529	517166	497730	790667	621139	720550	842466	774538	834386	999597	912482	637853	1058639	962720	619715	684671	564137	662946	664117	674670	656803	1119324	1267825	719449	863929	596551	535471	534111
506.2339@12.122004	328722	602883	406050	117670	142824	105844	141882	136978	117647	1	88907	271418	162396	155112	155568	266189	110500	131841	164803	386296	578087	294121	1178814	856337	108512	228559	294625	67438	131285	152565	208388	148758	1947567	264120	217696	100809	440179	101579	1	166972	115937	157357	94045	280623	82588	390605	264427	91865	85611	193427	1092724	603875	1132789	289498	353394	176354	280179	180987	73994	231209	589179	235427	131950	738302	167667	270317	1396425	619914	224184	153461	164679	130278
N-Undecylbenzenesulfonic acid Esi-13.38799	817102	703284	523938	865475	732724	340573	930126	811402	465840	1355692	292339	1070725	569024	656527	508097	872494	540974	380441	370575	884103	501957	503883	787364	948613	178428	661257	1601716	268804	311449	1406267	480601	480828	1412944	1434597	696074	671773	996989	1091958	409758	856362	638240	933246	317687	646676	635994	951100	889214	883181	437290	633332	1340566	823480	775956	832242	914576	294314	717747	889705	966943	1657149	744375	1412909	1229804	768434	1525994	482943	860586	1487247	807539	539291	191513	1083167
Congmuyenoside A	369601	593895	1	1	1233623	393484	159489	214389	394000	299549	126283	358774	429496	365221	450746	1	374292	358193	609893	289517	1123779	1	998323	1205799	447496	236674	310827	417513	1	468683	272639	1	1353047	365621	275830	605566	1	1	338570	366405	1	310536	1	482013	381711	1	978700	1	304881	474844	874894	1063490	2030027	491714	183453	328866	281012	219976	187830	1	459731	326618	248273	658572	1	359384	829174	604671	615214	353171	419679	614234
2-Dodecylbenzenesulfonic acid Esi-12.82899	802097	893483	439247	712919	599051	297180	607786	755846	381615	150497	493616	1014177	420383	434153	451893	758607	558241	284103	312194	950645	283112	569860	775556	1065586	290002	969303	1470777	246503	706862	1153988	297752	537540	1069013	1331956	393521	595887	685994	940257	668740	463464	1040474	731040	435548	634412	464119	935360	897552	954919	458838	842533	1427661	908145	941341	904924	1106947	86460	638965	811354	796083	1413439	630526	1074739	1072285	997689	1201074	330738	724588	1274852	757091	407570	277963	854985
650.4179@11.236003	281544	1	364206	987092	434313	1	290794	567740	333524	1	1	1	123266	201352	678743	1	151288	1	373787	247914	1	241890	397122	200453	1	1	1	1	553802	1	105711	1	1035245	1	324336	165452	1013006	1	1	206730	1	418474	1033596	303491	278011	1321308	59671	451709	1	1	231958	309203	74680	305055	1	98200	1	367231	1	212428	173219	1	203285	823645	2627295	1	469960	83596	253631	288394	83096	276216
Capsianoside I	62818	548357	545019	1	156836	60034	792005	1019547	103112	1	1863879	222240	72003	84232	1	669394	62285	1	88167	689167	205605	532664	89448	438380	463948	649741	965659	51572	1	331134	314136	339816	257078	340502	1	52520	238732	128603	195625	89407	186131	83263	327927	96583	624330	773333	1	1148549	1	101343	108952	1	79887	137891	186660	82249	72871	932830	1	699402	65960	624852	894922	250229	735428	89331	1	165093	55609	274411	65576	1
381.9829@7.5089955	130701	1367523	110886	71784	1477469	1833317	139601	100925	259785	582627	140370	1	1225082	1	82386	115594	101606	963170	1463549	94899	79438	76959	1707745	210896	1966400	109712	142471	104155	106852	139197	181492	150630	138744	147593	55513	1065059	96814	229889	1953925	728710	223729	96059	1730528	838720	1193793	240103	133715	163211	129762	97744	102214	80415	382732	89608	187477	530758	159264	127160	123677	124086	1077844	145601	151087	105898	346767	98278	97201	73893	1026418	1044953	127973	1803037
2(R)-HPOT Esi-8.281998	339338	382481	344774	538713	700070	385342	1053114	347918	289921	146088	247034	690174	760727	1	557888	551688	470013	494796	613110	445594	276070	586322	557341	1126861	119638	326042	1207900	507131	301008	1334792	947077	347118	167853	2006243	978786	878494	844471	1408448	934948	827240	1154500	1128166	487802	549475	736297	833512	246827	1159907	651177	357046	523201	528889	522567	389960	994846	154996	486877	922051	1194784	2159298	617119	1695667	1632373	215779	1938976	494579	83632	1159039	694957	608176	406562	1795652
531.9736@9.320998	778069	1057393	999493	584119	1	1285501	1162128	981143	649027	1541276	1288833	1163712	900460	507021	541643	1132374	627283	798376	1501916	1207926	613479	1383612	1745472	1314199	1932282	1376961	1111375	700169	635033	1133381	1426804	902521	1020629	1062533	592176	708972	635084	1228901	1735332	792028	1344901	592778	1914215	662866	1432258	1017889	753770	1318685	693478	692620	664678	510414	979881	658984	1290196	793462	844014	1316877	791903	1494894	888125	1481283	1086337	1122116	861461	691188	660688	500500	978347	1071545	875511	1851271
2-deoxyecdysone	326645	990896	969911	148572	577991	635222	1	844670	474267	1	102206	1918823	430779	1	1	280639	1	643604	590137	592148	493421	1086641	313099	586064	712979	1	1	1	1	1	1046723	413716	1291444	1	274633	1	1	264004	1	482478	1	146242	1	1	137581	549330	556292	61714	1	261191	318564	897284	1009492	240929	563221	459924	1	274354	1	1	687405	256299	1	256469	128083	1081180	1398659	422577	342407	1	635406	1
1175.9141@14.863	839065	432006	1	816759	791514	449159	377913	402899	1175041	595688	408034	1320925	579643	808942	854034	372486	1150093	865418	811682	397290	521222	539513	730097	355711	514014	481347	547102	928927	963338	627784	1	679456	771937	863021	1	814897	1256605	1092838	535068	1080347	1216545	591867	677299	1048650	331464	515277	453101	1	1378726	484143	1528431	1037719	1335198	804049	740076	1154873	1271426	343075	1110754	1	436113	409449	379506	603317	266160	695019	639724	1122926	746885	293630	907733	879540
"3beta,21-Dihydroxy-pregna-5,7,9(11)-trien-20-one diacetate"	581416	97108	278997	678778	545481	665579	225181	315421	487377	66803	174755	527678	849363	853942	577815	422640	1168250	752517	513878	285654	139282	318742	811619	385267	460667	253708	587462	726524	583055	403915	342131	317611	382417	399876	554357	812033	368043	768614	749884	1023386	374927	825835	333534	965850	447714	444114	555411	384249	524052	233164	157696	568850	478645	756787	526257	625153	685695	654484	1938869	711327	528435	781557	376280	331602	467354	784339	659755	761757	781688	522660	548490	1217301
967.0085@11.4970045	345503	223589	1	205566	207255	157992	152768	9889	314319	31482	1	29041	205541	252954	119625	1	252724	307259	210487	1	162140	1	114670	1	273145	1	1	175595	283023	115178	44454	155296	1	51917	249917	305664	292831	1	181482	184845	39407	215012	164093	189865	146354	1	169052	1	172756	204749	203843	196437	87002	303556	1	205606	208698	1	269320	1610	136500	1	1	1	1	147806	104460	1	141329	144774	152178	178589
PS(18:0/20:0)	342480	506789	660949	625820	410508	261027	1	402621	142539	1	335365	506575	292155	429193	1	1048524	495838	452164	1	651880	1	333223	504026	627930	1	1937294	1024522	1	1	722802	1	409802	469684	610805	1	243447	571888	862532	1	282011	701594	1078071	1	511406	311070	1	128369	637904	196284	425355	1067925	702965	891257	904439	1178495	1	1172188	1	1104334	468710	377978	665728	584427	471886	899726	233641	562974	610566	849977	312640	1	280648
438.3708@16.88799	865754	1601803	1	127608	971764	732561	912826	1580371	1	1	1	257586	267087	202082	124901	1	242579	1	180119	964210	397378	1	1	1	1	170460	1	434869	929812	167276	796437	907397	1	1078911	523952	712646	1139343	814485	1	376245	2165604	1040494	1548030	648073	318477	289263	1448314	421185	821700	421179	1330645	1	1	1	296691	307690	1624446	622329	417011	399099	323037	2143725	951068	1	906256	146570	443723	451686	1	1	1	784962
Steryl sulfate	1305261	1235459	1	1582834	1	325601	961610	1437605	946662	1	1	933580	1094459	1	801919	1272609	1023892	1119936	992386	852889	1	1108870	1	1042342	1	1015976	1362471	568489	1	848475	643667	692753	1638859	1143249	954985	1121759	1677694	1	1	1	805712	1	1	792430	679116	1855889	1	1466474	1	1505615	1153492	1	797360	1352581	1396033	531188	1078223	925680	1	589365	1511649	1162271	1	1685138	1142801	682226	1187321	843917	1	1471525	534795	1040392
L-Citronellol glucoside	483043	1	728998	1122369	649009	350505	638385	427664	442167	119438	489052	923151	532882	510773	433698	632335	514078	445619	333123	521978	926677	867869	2453828	1403360	1136901	501149	2069164	409814	1272755	1097715	502779	465472	941019	1317390	559485	590482	1511267	556435	443138	527519	549265	394541	1	1207583	508084	893068	542231	684932	729630	954199	1137997	1019559	844734	542181	1849012	830729	893011	719793	636231	479690	931046	374309	505521	709657	1138275	592805	833346	599485	468023	580925	388531	470048
PA(16:0/16:0)[rac]	771220	410447	1	733675	571134	268739	1022907	721975	397162	1	260119	962475	506319	588293	1	956653	450650	380264	263623	1	449323	1	830629	735761	180136	890718	1120145	222632	334824	1188863	232323	1	1119112	1519438	545679	613564	1	1	401328	766775	1	1015134	282849	658230	548245	946762	1055566	1	326477	467860	1209201	793998	706793	899720	1	268191	874122	610191	967001	1438984	613416	1104648	1093219	614291	1598704	388856	844524	946428	740259	1	185611	1213161
Soraphen O Esi-9.120992	483075	341372	575489	468547	1	477450	764993	463805	534520	120754	379665	766555	751348	1	556293	1013900	476502	770329	528490	572221	305973	573514	178468	837394	160352	482512	1113191	585595	204864	1561848	870525	465268	121319	1897780	1012339	946042	609826	1755160	739180	954067	1196082	1498399	500309	780256	983306	645784	86010	1109304	686889	376696	302342	197105	190060	511642	1205077	161043	359402	840258	1289347	1412922	577687	1619751	1382599	245823	1678787	619649	81913	1077306	793914	644968	438817	1194480
Varanic acid Esi-6.5580044	633114	1153602	680649	599809	808402	1785157	299570	1584278	1096713	127490	1515023	2629526	2049510	440249	398011	642879	1361593	797810	546276	918963	688055	309164	447773	1784443	305853	264894	1453510	1004124	451348	835568	599128	959689	291315	1249160	302511	947959	972775	751532	639881	991858	1538344	1522581	516448	1475901	596605	323915	1449170	403068	884153	1051104	883738	175147	2151585	262250	2145571	637194	477923	596911	1360649	1039186	510284	692026	471157	452816	573897	1	1	1041817	1102770	511756	664865	354279
Diphenolic acid Esi-6.434998	606548	575564	234985	266248	194032	373183	440341	505243	196259	85035	281407	1	268347	1	131909	344273	473603	341152	1	390125	311500	382730	970930	715299	190814	1	1	408256	1	479581	533898	396151	1	767848	295852	569350	513334	928202	417667	609291	621415	616497	214938	404017	258376	448922	640071	544006	546800	388289	1144190	374812	1	425395	1	146123	863295	364818	453158	741870	284721	1641566	661428	264198	1	1	1	359579	129675	149950	268152	588129
25-Cinnamoyl-vulgaroside	1700076	2179449	1	217628	1	299825	1398514	1567824	568871	1	1	625685	174061	1	399847	1773126	2014017	1152715	997662	1258809	1334134	254292	1128653	1764022	347264	1	2287880	1	1032127	1507690	1	699386	1650375	2038190	1013830	1347390	1	1255849	1003772	1	1	833686	552198	708042	535179	312239	1643170	1215836	769222	1508081	1415286	1314605	1889511	522203	2499174	1	2309034	1	637786	1	1421991	1740263	2029710	1294459	1868166	1	2219486	2470809	1441824	613287	1133958	1
396.36@15.994996	443742	490071	359738	288544	407735	301437	398180	502027	456353	1	337652	271898	434825	629797	682010	433600	478690	215121	254162	660801	713417	387622	499672	606288	250825	273299	883529	584962	921716	594479	633039	869081	327828	636572	544392	732577	793257	920983	281765	527591	1641890	626542	457252	580085	561571	633730	470501	556329	482121	507731	532561	433899	367830	404227	586923	318753	501144	607276	538434	554118	315124	807923	805944	348554	660120	335543	348745	1129472	371008	319260	279565	535271
1341.9@15.906005	880558	721760	985086	897757	839743	943859	1107885	966113	1028711	1629018	1194141	1254614	1038150	1007170	804073	1047037	950742	1054217	948708	853024	824706	1130619	759084	906022	944959	1094385	1113653	1080401	1023097	944433	1132868	1187791	860908	1062758	880960	1012439	1095948	1190631	961208	973423	1419100	820209	924754	945988	806445	984396	914130	980028	1146578	832981	1194274	946676	1434215	882351	896654	1040345	1089122	826360	1108025	1044856	904644	988414	1082794	949581	1148992	996178	853836	868831	868086	798872	1036530	932116
607.4939@17.212006	1183596	677555	562902	800509	613314	479792	430466	522328	758446	1	201739	171947	960565	1104654	924245	313978	1000021	684307	419444	289622	560202	392268	469708	288299	445078	537955	373543	1167245	1324387	449765	354423	580600	252027	317016	1596962	821017	450827	538279	410507	1317872	1302085	1042761	597290	1711852	894044	367087	1966456	310613	771349	612012	481877	1131653	338822	945611	401181	862822	1285052	361513	747878	270639	1057683	395589	349743	297155	297160	1097949	634273	258403	490384	849441	425211	662480
Furfural diethyl acetal	289797	181298	177834	319908	332225	595600	430340	420780	176016	139067	124989	1425200	1152930	1	171400	433368	556822	997806	451528	289947	115194	455683	170671	253261	195003	204258	320871	381398	106651	1046152	842099	277687	80396	883663	1130285	545606	445976	1410790	545328	397839	253423	878382	439106	482792	678717	412641	1	781285	832068	276454	128421	142046	69511	354528	776338	249761	215180	707567	1106256	1814755	414227	1102391	1069834	245206	1454648	786053	1	372850	481940	1	433117	998773
595.9695@9.325994	754481	1001171	888997	542213	1038471	1185530	992447	980628	630469	1370230	1104714	1104152	813791	442572	538042	1027474	586150	757812	1317046	1065815	575186	1285726	1520126	1140726	1846580	1248764	1041066	694779	559216	1063486	1274308	852404	894038	943735	582908	584855	559667	1230162	1616742	780265	1236353	578340	1664948	603251	1175613	875472	725439	1128932	694009	666577	627053	470042	922694	645992	1190938	781101	815198	1158690	783134	1380063	783436	1338604	997306	1008396	797308	644084	630660	456553	857334	930715	874912	1573838
882.6191@7.9359994	113708	1	810730	1	1	1	129404	1	487338	1	502657	364958	1	1	206206	324755	915092	480011	251160	556830	1407329	1044832	1	1	484952	632524	117508	114799	1	578010	205365	216926	568000	368762	1106221	142533	152013	447309	320002	1051494	1	127091	202054	111527	1060447	946325	1	512443	587522	600475	1	286148	1	742571	355905	392250	271239	1717622	321981	199147	983745	681271	283942	229374	1	1048548	448204	185316	276563	372085	251796	208090
"(14alpha,17beta,20S,22R)-14,20-Epoxy-17-hydroxy-1-oxowitha-3,5,24-trienolide"	657547	612139	1	216582	1082155	914660	1235614	453621	1	1	1	288475	475270	471586	262426	1	400181	72522	1	1186400	355780	1	269033	1	260012	288883	136747	853497	1811104	234006	608967	529306	122498	1002611	807564	1151058	653324	329957	329374	532532	341220	951047	1470523	482871	804963	594878	759599	419515	557721	300152	618950	98553	87685	96237	267949	302198	1176681	380416	681204	382225	716551	1383891	663713	1	629099	462521	846569	293910	1	1	1	448441
"2,4,6-Triethyl-1,3,5-trioxane"	890704	1032496	816167	903130	1127536	1145845	1165059	1171395	1127091	4934558	450203	1	329728	1	1044538	527076	809520	1328076	2148072	1	633809	244959	5698886	1483850	877029	1	1	1217140	1	1884435	570428	1041348	1	1364146	747337	1222448	1242195	1758569	112542	881193	787317	2377942	518535	1259511	1426361	886232	610980	1099589	2957634	1800778	1726504	723287	1	1159428	1	500326	1719492	1184029	4417392	1	1	1282499	372998	1	1	1	1	637210	738701	358263	870687	1102168
"5?-Cholestane-3?,7?,12?,26-tetrol Esi-11.981007"	272158	871432	675085	157574	1	266126	356686	362823	873999	1	229811	248111	1	290991	414254	397438	255733	184089	294686	403188	1442242	523078	901821	859219	305884	1	289040	306335	130862	415376	477622	479373	1158307	873234	575183	403920	643448	418676	202486	275030	434552	339551	553527	1	371302	302530	408279	105896	227949	576438	817717	1082899	836470	268203	461378	563091	263525	507939	1	737618	1255408	327078	304278	689200	347566	385413	1021708	496809	224453	291091	761494	422553
838.5226@16.798994	809655	720390	1	822020	1471523	547935	664847	700250	1480623	1	1246887	1	1158797	1420860	1150565	537802	581197	441212	678268	527811	1263174	1	646984	1	804407	414903	996588	741290	646294	647010	990785	1	503455	960136	1120299	1267772	1680096	1	1112621	876113	1	701530	446153	1023324	1195686	992598	347555	769226	644399	1055767	700212	749367	1	1158789	1	552504	639382	1120476	891463	754102	676548	770393	847190	528853	736657	1073926	388572	647484	1286253	1382475	761660	1073555
650.2767@12.937007	157008	164556	516711	128862	1	1	157103	180598	131677	1	291722	623692	203996	250609	127543	553262	109071	94463	94035	534444	315241	494886	189878	948323	99908	588924	742244	38149	1	727780	206896	221905	199584	251452	161945	255008	1706240	542217	153639	121065	147438	524108	1	337411	133203	386505	1	532141	111060	176890	455667	1	410491	369311	794574	59180	530176	391143	166040	837868	113390	376257	231233	251307	691439	238185	109220	774212	143621	152357	91309	165296
"Ingenol 3,20-dibenzoate"	393512	340971	657843	1	80356	135359	493526	395489	292585	1	396460	533929	214548	200403	1	462720	625845	985437	533620	1454191	1450884	1018896	1	393553	696304	1081273	478334	1	1	1678167	1	1	1134409	1159162	661755	558322	621256	563509	498841	839982	280606	626075	1	283938	1	1	259725	337235	313471	420906	841753	249054	776905	657223	697539	1	1030338	1	325994	571731	724227	228032	457061	968915	733573	711723	958605	832150	1	328565	500280	1
442.2611@10.083989	1180845	1130493	1	1176122	7710979	1473430	4262784	1349837	1410656	1429310	1179545	1242512	1075385	1161046	1766790	883810	1277853	1146012	1254248	1110727	1247666	1056076	1050978	1	1290683	1243944	1023718	1309060	1027170	1457653	953215	6819360	1372396	1173202	878266	3129265	1243775	915458	1225079	1278789	883001	1483248	942218	2171743	899035	1122272	899178	1195951	1412960	1190466	838888	2946256	1816843	3122778	909143	1130422	1102823	1020625	1186492	1354282	1005109	1090917	1242927	1542737	1441853	1305879	1187928	1254756	1229901	895126	1586328	1685976
"5alpha-Androstane-3beta,17beta-diol diacetate Esi-10.739008"	196063	602984	599734	280066	279319	279920	260489	1	196882	1	223419	1	398055	368599	179725	573710	162344	399160	312474	300797	744955	553232	1	1	281169	279278	1	1	95501	279523	377238	1	1530730	1	307154	237789	359554	286987	168049	247194	1	248612	144515	326145	296058	371050	240239	203934	166250	249775	1	865388	1078898	340268	1	1	267508	311384	1	1	766944	235288	1	743884	210139	605254	1	1	385130	311359	238952	192433
"3?,7?-Dihydroxy-5?-cholestanate Esi-10.960009"	171940	598398	1598435	775366	450482	386532	531912	1256452	474761	1	440444	1328608	689829	597055	369583	962309	479086	709896	342724	624839	1	742585	1247568	470546	471331	380993	640176	193853	123043	345211	731427	401518	1	140560	476896	515337	770074	446062	100741	413652	479342	645443	267680	790094	449491	946404	222829	193220	172455	248702	668112	486225	1594343	269292	835018	963687	507892	358362	579251	485289	617049	642237	221372	497829	613790	530858	1672905	478422	671761	538111	224176	393774
LysoPE(0:0/14:0)	672321	613923	636673	249920	762779	449874	343601	445919	1095127	1	641437	1	262202	1	769585	443822	589948	360220	492021	795537	775248	569260	522039	369151	495303	360179	505382	559983	477780	651318	570212	544420	355250	907726	677634	741559	745235	483524	591035	454116	821354	507023	232300	663377	312425	610218	924801	831539	558256	631359	529308	642298	492799	448889	915334	459407	525026	921502	324030	962190	527270	1429345	1317223	330925	593291	406880	333591	271643	447673	387412	455274	842317
305.9209@20.041994	1405351	1790465	1	1264839	1730281	1261605	1396536	1	1202030	1018363	1208881	1398326	1447946	1535210	1613009	1584923	1334743	1418315	1316878	1276384	1	1412008	1876204	1	1541414	1539685	1204715	1524263	1519784	1534825	1	1	1556668	1516296	1299321	1143104	1040380	1	1494567	1297342	1	1302981	1691832	1476575	1697856	1577373	1114498	1	1518018	1532594	1619445	1674970	1074846	1556135	1162881	1422419	2221571	1	1587400	1554447	1538649	1	1307093	1	1200350	1299664	1639154	960907	1345242	1633243	1426170	1596598
524.2805@16.174	639610	507756	1	121760	831532	829409	1236709	600918	1	1	1	369249	516517	383673	227842	1	272541	1	1	1070528	268095	1	153701	1	165160	254772	1	764414	1565487	165896	602425	710322	130650	995911	618911	845642	692888	367738	208107	390511	512777	786090	1434265	467790	531127	530546	979573	378117	467062	254840	429182	1	1	74704	224312	260991	1027498	495590	580187	430639	394212	1899179	892365	1	850451	408580	514481	260796	1	1	1	569099
omega-hydroxy behenic Esi-16.135006	394161	1083998	1	139196	520620	473425	757812	544582	1	1	1	124989	179129	246736	79843	1	206718	1	1	1454578	456201	1	110720	118091	79925	187765	89301	421177	1252261	146283	496424	674448	79808	1018393	436730	602980	685193	601677	89963	317268	588008	821159	880255	220654	425136	422178	452143	429591	303853	411116	1139184	57418	57148	68788	417488	155951	840240	370375	309470	375305	435702	1016813	490921	1	369882	215195	653039	405415	1	1	1	252841
19-noraldosterone Esi-6.282996	668438	1033855	715914	321827	632090	353948	1055467	1011431	564329	1	713184	521455	470931	1	238136	1	788724	465275	1	844634	957115	807688	996866	846628	452536	1	1	806694	1313305	1	991208	742767	1	1	1030059	1	956917	618171	776918	646353	550154	734790	1209314	715706	945757	521054	964113	1353080	1064080	560135	1462124	1142702	724256	800968	471860	543351	426390	824473	349056	535465	1	839852	620802	1178069	1274343	1	1	635756	546875	502471	818426	1215254
Goyaglycoside g Esi-7.820006	260862	1	2033220	1829956	1	1	1	1	217669	68369	1870854	1	132886	150058	1	9748646	5696320	4333494	70078	512452	326759	2849282	1	221970	3280363	16028794	1961636	1	1	7989105	102544	103334	196424	1321563	559182	265725	1	345608	215390	1164021	180457	6451852	512736	1	1587830	715703	563766	417121	74005	169956	1	1	130237	303876	371737	432855	1240647	3161337	1105661	1497519	553465	140761	5711093	1590142	3078642	4157386	1	587059	428804	158740	451117	123739
"2,3-Butanediol apiosylglucoside"	329635	333111	186824	352961	86347	1	1417807	238500	181054	1	170954	119169	165843	1	475809	413828	178390	84725	48055	144727	142128	233314	180645	97734	53050	127838	193925	240009	866682	195130	103420	218518	425768	133561	418004	217017	320693	206713	226681	230125	174320	352782	478939	249532	189217	636847	1	500261	90710	1	1285478	469269	154236	180219	59422	167903	1	300592	101730	223469	173107	278833	98240	360617	230278	144352	131659	108125	289297	380732	270144	561755
Moxidectin	235599	145116	453693	135139	1	1	275281	282322	404802	1	499311	1	136927	141305	160403	517805	168346	106712	1	586810	612003	205364	178842	443245	1	227966	484066	1	129348	814145	170849	576712	511444	502571	233847	1	748012	599136	1	122808	1010427	221178	1	154220	1	768911	116401	557291	1	176377	504996	186592	264945	120226	668593	1	175249	410157	1	482619	283021	863796	770181	330379	233167	136695	1	931272	231638	265040	1	244346
Cinncassiol A	351543	483649	509302	370288	340966	431632	1	345360	299037	1	362381	447442	333010	343125	314481	771189	291809	303280	265080	590611	520193	292229	305870	628279	183032	352567	436557	212834	274966	276676	490677	474052	411492	311762	535599	324472	365220	332437	177484	262940	406818	946701	193096	285927	294378	2774530	426258	351480	267497	502068	881971	985597	334093	1125519	1687667	245289	1643923	404383	169722	291789	739346	476295	317929	522929	869608	1	508135	293997	476020	317198	291497	204197
